Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVAC,RUUseType,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4305,2,Detached House,1/09/2020,1/09/2020,1/09/2020,1,0,1,Public Housing,IPSWICH ,Ipswich,Ipswich
4301,3,Detached House,1/01/2021,1/01/2021,1/01/2021,1,0,1,Public Housing,IPSWICH ,Ipswich,Bundamba
4558,3,Detached House,1/01/2021,1/01/2021,1/01/2021,1,0,1,Public Housing,MAROOCHYDORE ,Sunshine Coast,Ninderry
4179,4,Detached House,1/07/2020,1/07/2020,1/07/2020,1,0,1,Public Housing,BAYSIDE ,Brisbane,Lytton
0,3,Detached House,1/03/2021,1/03/2021,1/03/2021,1,0,1,Public Housing,INALA ,Brisbane,Mount Ommaney
4610,2,Apartment,1/03/2021,1/03/2021,1/03/2021,1,0,1,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4301,2,Apartment,1/02/2021,1/02/2021,1/02/2021,1,1,2,Public Housing,IPSWICH ,Ipswich,Bundamba
4301,3,Detached House,1/11/2020,1/11/2020,1/11/2020,1,1,2,Public Housing,IPSWICH ,Ipswich,Bundamba
4305,1,Duplex,1/12/2020,1/12/2020,1/12/2020,1,1,2,Public Housing,IPSWICH ,Ipswich,Ipswich West
4558,3,Detached House,1/01/2021,1/01/2021,1/01/2021,1,1,2,Public Housing,MAROOCHYDORE ,Sunshine Coast,Ninderry
4304,4,Detached House,1/02/2021,1/02/2021,1/02/2021,1,1,2,Public Housing,IPSWICH ,Ipswich,Ipswich
4305,3,Detached House,1/02/2021,1/02/2021,1/02/2021,1,1,2,Public Housing,IPSWICH ,Ipswich,Ipswich West
4301,2,Apartment,1/02/2021,1/02/2021,1/02/2021,1,1,2,Public Housing,IPSWICH ,Ipswich,Bundamba
4305,2,Detached House,1/05/2021,1/05/2021,1/05/2021,1,1,2,Public Housing,IPSWICH ,Ipswich,Ipswich West
4300,4,Detached House,1/12/2020,1/12/2020,1/12/2020,1,1,2,Public Housing,IPSWICH ,Ipswich,Bundamba
4303,2,Apartment,1/03/2021,1/03/2021,1/03/2021,1,1,2,Public Housing,IPSWICH ,Ipswich,Bundamba
4655,4,Detached House,1/06/2021,1/06/2021,1/06/2021,1,1,2,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4133,2,Townhouse,1/07/2020,1/07/2020,1/07/2020,1,3,4,Public Housing,LOGAN ,Logan,Waterford
4610,3,Detached House,1/12/2020,1/12/2020,1/12/2020,1,3,4,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4305,2,Detached House,1/01/2021,1/01/2021,1/01/2021,1,3,4,Public Housing,IPSWICH ,Ipswich,Ipswich West
4301,4,Detached House,1/05/2021,1/05/2021,1/05/2021,1,3,4,Public Housing,IPSWICH ,Ipswich,Bundamba
4305,2,Duplex,1/03/2021,1/03/2021,1/03/2021,1,4,5,Public Housing,IPSWICH ,Ipswich,Ipswich
4305,4,Detached House,1/04/2021,1/04/2021,1/04/2021,1,4,5,Public Housing,IPSWICH ,Ipswich,Ipswich West
4301,4,Detached House,1/05/2021,1/05/2021,1/06/2021,1,4,5,Public Housing,IPSWICH ,Ipswich,Bundamba
4812,2,Apartment,1/09/2020,1/09/2020,1/09/2020,1,5,6,Public Housing,TOWNSVILLE ,Townsville,Townsville
4817,4,Detached House,1/01/2021,1/01/2021,1/01/2021,1,9,10,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4304,3,Detached House,1/05/2021,1/05/2021,1/05/2021,1,9,10,Public Housing,IPSWICH ,Ipswich,Bundamba
4179,2,Apartment,1/09/2020,1/09/2020,1/09/2020,1,11,12,Public Housing,BAYSIDE ,Brisbane,Lytton
4301,4,Detached House,1/04/2021,1/04/2021,1/05/2021,1,11,12,Public Housing,IPSWICH ,Ipswich,Bundamba
4158,2,Townhouse,1/06/2021,1/06/2021,1/06/2021,1,24,25,Public Housing,BAYSIDE ,Redland,Capalaba
4670,4,Detached House,1/09/2020,1/09/2020,1/10/2020,1,35,36,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4305,3,Duplex,1/04/2021,1/04/2021,1/04/2021,1,1,2,Public Housing,IPSWICH ,Ipswich,Ipswich
4301,3,Detached House,1/08/2020,1/08/2020,1/08/2020,1,1,2,Public Housing,IPSWICH ,Ipswich,Bundamba
4650,2,Apartment,1/08/2020,1/08/2020,1/08/2020,1,1,2,Public Housing,MARYBOROUGH ,Fraser Coast,Maryborough
4558,4,Detached House,1/07/2020,1/07/2020,1/07/2020,2,0,2,Public Housing,MAROOCHYDORE ,Sunshine Coast,Maroochydore
4303,2,Apartment,1/02/2021,1/02/2021,1/02/2021,2,0,2,Public Housing,IPSWICH ,Ipswich,Bundamba
4132,4,Detached House,1/05/2021,1/05/2021,1/05/2021,2,0,2,Public Housing,LOGAN ,Logan,Woodridge
4350,3,Detached House,1/05/2021,1/05/2021,1/05/2021,2,0,2,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba North
4124,4,Detached House,1/05/2021,1/05/2021,1/05/2021,2,0,2,Public Housing,LOGAN ,Logan,Logan
4655,4,Detached House,1/06/2020,1/07/2020,1/07/2020,2,1,3,Public Housing,MARYBOROUGH ,Fraser Coast,Maryborough
4510,3,Detached House,1/09/2020,1/09/2020,1/09/2020,2,1,3,Public Housing,MORETON BAY ,Moreton Bay,Morayfield
4118,4,Detached House,1/10/2020,1/10/2020,1/10/2020,2,1,3,Public Housing,LOGAN ,Logan,Algester
4109,5,Detached House,1/01/2021,1/01/2021,1/01/2021,2,1,3,Public Housing,BURANDA ,Brisbane,Stretton
4655,4,Detached House,1/05/2021,1/05/2021,1/05/2021,2,1,3,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4650,3,Detached House,1/08/2020,1/08/2020,1/08/2020,2,3,5,Public Housing,MARYBOROUGH ,Fraser Coast,Maryborough
4304,3,Detached House,1/08/2020,1/08/2020,1/08/2020,2,4,6,Public Housing,IPSWICH ,Ipswich,Bundamba
4680,3,Detached House,1/12/2020,1/12/2020,1/12/2020,2,4,6,Public Housing,GLADSTONE ,Gladstone,Gladstone
4650,2,Apartment,1/12/2020,1/12/2020,1/12/2020,2,4,6,Public Housing,MARYBOROUGH ,Fraser Coast,Maryborough
4131,2,Townhouse,1/02/2021,1/02/2021,1/02/2021,3,0,3,Public Housing,LOGAN ,Logan,Waterford
4077,4,Detached House,1/08/2020,1/08/2020,1/08/2020,3,2,5,Public Housing,INALA ,Brisbane,Inala
4670,2,Apartment,1/02/2021,1/02/2021,1/02/2021,3,3,6,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
