Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,RUUseType,VUDays,VTDays,TotalVAC,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4305,3,Detached House,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,3,4,IPSWICH ,Ipswich,Ipswich West
4815,3,Detached House,1/10/2020,1/10/2020,1/10/2020,Public Housing,1,3,4,TOWNSVILLE ,Townsville,Thuringowa
4304,3,Detached House,1/03/2021,1/03/2021,1/03/2021,Public Housing,1,4,5,IPSWICH ,Ipswich,Bundamba
4655,3,Detached House,1/03/2021,1/03/2021,1/03/2021,Public Housing,1,0,1,MARYBOROUGH ,Fraser Coast,Hervey Bay
4301,2,Apartment,1/08/2020,1/08/2020,1/08/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Bundamba
4670,4,Detached House,1/10/2020,1/10/2020,1/10/2020,Public Housing,1,0,1,BUNDABERG ,Bundaberg,Bundaberg
4305,2,Detached House,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Ipswich
4301,3,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,1,0,1,IPSWICH ,Ipswich,Bundamba
4558,3,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,1,0,1,MAROOCHYDORE ,Sunshine Coast,Ninderry
4179,4,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,1,0,1,BAYSIDE ,Brisbane,Lytton
4075,3,Detached House,1/03/2021,1/03/2021,1/03/2021,Public Housing,1,0,1,INALA ,Brisbane,Mount Ommaney
4610,2,Apartment,1/03/2021,1/03/2021,1/03/2021,Public Housing,1,0,1,MARYBOROUGH ,South Burnett,Nanango
4301,2,Apartment,1/02/2021,1/02/2021,1/02/2021,Public Housing,1,1,2,IPSWICH ,Ipswich,Bundamba
4301,3,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,1,1,2,IPSWICH ,Ipswich,Bundamba
4305,1,Duplex,1/12/2020,1/12/2020,1/12/2020,Public Housing,1,1,2,IPSWICH ,Ipswich,Ipswich West
4558,3,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,1,1,2,MAROOCHYDORE ,Sunshine Coast,Ninderry
4304,4,Detached House,1/02/2021,1/02/2021,1/02/2021,Public Housing,1,1,2,IPSWICH ,Ipswich,Ipswich
